iso3,country,year,scenario,hot_days_proj,icing_days_proj,trop_nights_proj,scenario_label,linked_ssp,is_linked_scenario
ARG,ARG,2030,PROJ_SSP126,31.5,1.1,38.8,SSP1-2.6 (low emissions),,False
ARG,ARG,2030,PROJ_SSP245,34.8,1.0,40.8,SSP2-4.5 (middle of the road),,False
ARG,ARG,2030,PROJ_SSP370,35.2,1.0,41.4,SSP3-7.0 (high emissions),,False
ARG,ARG,2030,PROJ_SSP585,33.4,1.1,39.1,SSP5-8.5 (very high emissions),,False
ARG,ARG,2031,PROJ_SSP126,35.6,1.1,40.9,SSP1-2.6 (low emissions),,False
ARG,ARG,2031,PROJ_SSP245,33.4,1.0,39.9,SSP2-4.5 (middle of the road),,False
ARG,ARG,2031,PROJ_SSP370,36.3,1.3,42.9,SSP3-7.0 (high emissions),,False
ARG,ARG,2031,PROJ_SSP585,34.8,1.0,41.5,SSP5-8.5 (very high emissions),,False
ARG,ARG,2032,PROJ_SSP126,36.0,0.9,40.7,SSP1-2.6 (low emissions),,False
ARG,ARG,2032,PROJ_SSP245,31.7,1.1,41.1,SSP2-4.5 (middle of the road),,False
ARG,ARG,2032,PROJ_SSP370,34.8,1.2,43.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2032,PROJ_SSP585,36.3,0.9,42.6,SSP5-8.5 (very high emissions),,False
ARG,ARG,2033,PROJ_SSP126,35.1,1.1,40.1,SSP1-2.6 (low emissions),,False
ARG,ARG,2033,PROJ_SSP245,33.4,1.0,39.5,SSP2-4.5 (middle of the road),,False
ARG,ARG,2033,PROJ_SSP370,35.4,1.1,43.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2033,PROJ_SSP585,35.4,1.2,40.6,SSP5-8.5 (very high emissions),,False
ARG,ARG,2034,PROJ_SSP126,34.5,1.1,39.8,SSP1-2.6 (low emissions),,False
ARG,ARG,2034,PROJ_SSP245,34.8,1.0,41.3,SSP2-4.5 (middle of the road),,False
ARG,ARG,2034,PROJ_SSP370,35.2,1.1,43.3,SSP3-7.0 (high emissions),,False
ARG,ARG,2034,PROJ_SSP585,35.7,0.9,40.9,SSP5-8.5 (very high emissions),,False
ARG,ARG,2035,PROJ_SSP126,34.0,1.1,42.9,SSP1-2.6 (low emissions),,False
ARG,ARG,2035,PROJ_SSP245,37.4,1.1,41.6,SSP2-4.5 (middle of the road),,False
ARG,ARG,2035,PROJ_SSP370,34.5,1.0,44.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2035,PROJ_SSP585,38.7,0.9,43.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2036,PROJ_SSP126,36.3,0.9,43.3,SSP1-2.6 (low emissions),,False
ARG,ARG,2036,PROJ_SSP245,38.4,0.9,40.7,SSP2-4.5 (middle of the road),,False
ARG,ARG,2036,PROJ_SSP370,38.8,0.9,45.3,SSP3-7.0 (high emissions),,False
ARG,ARG,2036,PROJ_SSP585,38.5,0.9,43.8,SSP5-8.5 (very high emissions),,False
ARG,ARG,2037,PROJ_SSP126,34.2,1.0,43.6,SSP1-2.6 (low emissions),,False
ARG,ARG,2037,PROJ_SSP245,35.4,1.0,42.9,SSP2-4.5 (middle of the road),,False
ARG,ARG,2037,PROJ_SSP370,37.9,1.0,47.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2037,PROJ_SSP585,40.8,0.9,44.9,SSP5-8.5 (very high emissions),,False
ARG,ARG,2038,PROJ_SSP126,36.6,1.0,42.4,SSP1-2.6 (low emissions),,False
ARG,ARG,2038,PROJ_SSP245,36.8,0.9,42.4,SSP2-4.5 (middle of the road),,False
ARG,ARG,2038,PROJ_SSP370,36.6,1.0,43.7,SSP3-7.0 (high emissions),,False
ARG,ARG,2038,PROJ_SSP585,40.4,1.0,45.4,SSP5-8.5 (very high emissions),,False
ARG,ARG,2039,PROJ_SSP126,37.8,1.1,43.4,SSP1-2.6 (low emissions),,False
ARG,ARG,2039,PROJ_SSP245,36.4,1.1,42.3,SSP2-4.5 (middle of the road),,False
ARG,ARG,2039,PROJ_SSP370,37.1,0.9,45.7,SSP3-7.0 (high emissions),,False
ARG,ARG,2039,PROJ_SSP585,38.5,0.8,45.4,SSP5-8.5 (very high emissions),,False
ARG,ARG,2040,PROJ_SSP126,37.2,1.0,42.5,SSP1-2.6 (low emissions),,False
ARG,ARG,2040,PROJ_SSP245,39.8,0.9,43.5,SSP2-4.5 (middle of the road),,False
ARG,ARG,2040,PROJ_SSP370,39.5,0.8,45.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2040,PROJ_SSP585,39.1,0.9,46.1,SSP5-8.5 (very high emissions),,False
ARG,ARG,2041,PROJ_SSP126,37.8,0.9,43.4,SSP1-2.6 (low emissions),,False
ARG,ARG,2041,PROJ_SSP245,36.0,1.0,42.6,SSP2-4.5 (middle of the road),,False
ARG,ARG,2041,PROJ_SSP370,38.8,0.9,45.5,SSP3-7.0 (high emissions),,False
ARG,ARG,2041,PROJ_SSP585,42.5,0.7,47.1,SSP5-8.5 (very high emissions),,False
ARG,ARG,2042,PROJ_SSP126,36.1,1.1,43.3,SSP1-2.6 (low emissions),,False
ARG,ARG,2042,PROJ_SSP245,35.1,0.9,41.4,SSP2-4.5 (middle of the road),,False
ARG,ARG,2042,PROJ_SSP370,38.1,0.9,46.2,SSP3-7.0 (high emissions),,False
ARG,ARG,2042,PROJ_SSP585,41.2,0.9,46.4,SSP5-8.5 (very high emissions),,False
ARG,ARG,2043,PROJ_SSP126,35.6,1.1,42.6,SSP1-2.6 (low emissions),,False
ARG,ARG,2043,PROJ_SSP245,37.2,0.9,42.5,SSP2-4.5 (middle of the road),,False
ARG,ARG,2043,PROJ_SSP370,39.0,0.9,46.8,SSP3-7.0 (high emissions),,False
ARG,ARG,2043,PROJ_SSP585,42.0,0.8,46.3,SSP5-8.5 (very high emissions),,False
ARG,ARG,2044,PROJ_SSP126,36.3,0.8,43.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2044,PROJ_SSP245,38.9,0.9,44.6,SSP2-4.5 (middle of the road),,False
ARG,ARG,2044,PROJ_SSP370,40.9,0.9,46.7,SSP3-7.0 (high emissions),,False
ARG,ARG,2044,PROJ_SSP585,42.3,0.8,47.8,SSP5-8.5 (very high emissions),,False
ARG,ARG,2045,PROJ_SSP126,37.7,1.2,43.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2045,PROJ_SSP245,38.1,0.8,44.4,SSP2-4.5 (middle of the road),,False
ARG,ARG,2045,PROJ_SSP370,38.1,1.0,43.6,SSP3-7.0 (high emissions),,False
ARG,ARG,2045,PROJ_SSP585,39.6,0.8,46.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2046,PROJ_SSP126,35.6,0.9,44.2,SSP1-2.6 (low emissions),,False
ARG,ARG,2046,PROJ_SSP245,38.5,0.9,44.2,SSP2-4.5 (middle of the road),,False
ARG,ARG,2046,PROJ_SSP370,37.8,0.9,46.6,SSP3-7.0 (high emissions),,False
ARG,ARG,2046,PROJ_SSP585,39.9,0.7,47.9,SSP5-8.5 (very high emissions),,False
ARG,ARG,2047,PROJ_SSP126,36.9,1.0,43.3,SSP1-2.6 (low emissions),,False
ARG,ARG,2047,PROJ_SSP245,38.7,0.8,44.2,SSP2-4.5 (middle of the road),,False
ARG,ARG,2047,PROJ_SSP370,40.7,0.7,47.5,SSP3-7.0 (high emissions),,False
ARG,ARG,2047,PROJ_SSP585,43.8,0.8,49.4,SSP5-8.5 (very high emissions),,False
ARG,ARG,2048,PROJ_SSP126,36.4,0.9,42.9,SSP1-2.6 (low emissions),,False
ARG,ARG,2048,PROJ_SSP245,37.9,0.9,46.4,SSP2-4.5 (middle of the road),,False
ARG,ARG,2048,PROJ_SSP370,41.4,0.9,48.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2048,PROJ_SSP585,40.2,0.8,49.4,SSP5-8.5 (very high emissions),,False
ARG,ARG,2049,PROJ_SSP126,36.9,1.0,44.1,SSP1-2.6 (low emissions),,False
ARG,ARG,2049,PROJ_SSP245,38.5,0.9,45.3,SSP2-4.5 (middle of the road),,False
ARG,ARG,2049,PROJ_SSP370,38.0,0.9,47.7,SSP3-7.0 (high emissions),,False
ARG,ARG,2049,PROJ_SSP585,41.4,0.8,50.6,SSP5-8.5 (very high emissions),,False
ARG,ARG,2050,PROJ_SSP126,36.8,1.1,43.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2050,PROJ_SSP245,39.9,0.7,44.9,SSP2-4.5 (middle of the road),,False
ARG,ARG,2050,PROJ_SSP370,39.7,0.7,48.7,SSP3-7.0 (high emissions),,False
ARG,ARG,2050,PROJ_SSP585,43.5,0.8,49.4,SSP5-8.5 (very high emissions),,False
ARG,ARG,2051,PROJ_SSP126,37.3,0.9,42.5,SSP1-2.6 (low emissions),,False
ARG,ARG,2051,PROJ_SSP245,41.8,0.8,47.1,SSP2-4.5 (middle of the road),,False
ARG,ARG,2051,PROJ_SSP370,44.0,0.7,49.5,SSP3-7.0 (high emissions),,False
ARG,ARG,2051,PROJ_SSP585,47.0,0.7,51.5,SSP5-8.5 (very high emissions),,False
ARG,ARG,2052,PROJ_SSP126,36.1,1.0,44.4,SSP1-2.6 (low emissions),,False
ARG,ARG,2052,PROJ_SSP245,40.7,0.9,46.6,SSP2-4.5 (middle of the road),,False
ARG,ARG,2052,PROJ_SSP370,42.5,0.8,50.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2052,PROJ_SSP585,46.3,0.7,51.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2053,PROJ_SSP126,39.6,0.9,45.5,SSP1-2.6 (low emissions),,False
ARG,ARG,2053,PROJ_SSP245,40.3,0.7,47.6,SSP2-4.5 (middle of the road),,False
ARG,ARG,2053,PROJ_SSP370,39.6,0.7,50.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2053,PROJ_SSP585,45.0,0.7,52.6,SSP5-8.5 (very high emissions),,False
ARG,ARG,2054,PROJ_SSP126,39.3,1.1,44.2,SSP1-2.6 (low emissions),,False
ARG,ARG,2054,PROJ_SSP245,40.8,0.8,45.9,SSP2-4.5 (middle of the road),,False
ARG,ARG,2054,PROJ_SSP370,46.1,0.7,53.1,SSP3-7.0 (high emissions),,False
ARG,ARG,2054,PROJ_SSP585,51.2,0.6,54.5,SSP5-8.5 (very high emissions),,False
ARG,ARG,2055,PROJ_SSP126,36.1,1.0,43.6,SSP1-2.6 (low emissions),,False
ARG,ARG,2055,PROJ_SSP245,41.4,0.8,46.9,SSP2-4.5 (middle of the road),,False
ARG,ARG,2055,PROJ_SSP370,43.4,0.8,51.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2055,PROJ_SSP585,44.6,0.7,53.2,SSP5-8.5 (very high emissions),,False
ARG,ARG,2056,PROJ_SSP126,40.1,1.2,45.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2056,PROJ_SSP245,40.0,0.8,48.6,SSP2-4.5 (middle of the road),,False
ARG,ARG,2056,PROJ_SSP370,44.0,0.8,52.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2056,PROJ_SSP585,46.2,0.7,53.3,SSP5-8.5 (very high emissions),,False
ARG,ARG,2057,PROJ_SSP126,40.8,0.9,44.3,SSP1-2.6 (low emissions),,False
ARG,ARG,2057,PROJ_SSP245,40.8,0.8,48.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2057,PROJ_SSP370,46.0,0.7,52.7,SSP3-7.0 (high emissions),,False
ARG,ARG,2057,PROJ_SSP585,48.0,0.7,55.1,SSP5-8.5 (very high emissions),,False
ARG,ARG,2058,PROJ_SSP126,36.8,0.9,46.5,SSP1-2.6 (low emissions),,False
ARG,ARG,2058,PROJ_SSP245,37.6,0.8,45.7,SSP2-4.5 (middle of the road),,False
ARG,ARG,2058,PROJ_SSP370,42.5,0.7,52.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2058,PROJ_SSP585,49.5,0.6,57.3,SSP5-8.5 (very high emissions),,False
ARG,ARG,2059,PROJ_SSP126,37.1,0.8,44.5,SSP1-2.6 (low emissions),,False
ARG,ARG,2059,PROJ_SSP245,40.2,0.9,48.1,SSP2-4.5 (middle of the road),,False
ARG,ARG,2059,PROJ_SSP370,47.1,0.7,53.6,SSP3-7.0 (high emissions),,False
ARG,ARG,2059,PROJ_SSP585,48.1,0.6,55.7,SSP5-8.5 (very high emissions),,False
ARG,ARG,2060,PROJ_SSP126,39.2,1.0,45.2,SSP1-2.6 (low emissions),,False
ARG,ARG,2060,PROJ_SSP245,41.6,0.7,49.9,SSP2-4.5 (middle of the road),,False
ARG,ARG,2060,PROJ_SSP370,44.6,0.7,53.2,SSP3-7.0 (high emissions),,False
ARG,ARG,2060,PROJ_SSP585,50.1,0.6,57.4,SSP5-8.5 (very high emissions),,False
AUS,AUS,2030,PROJ_SSP126,117.8,0.0,133.4,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2030,PROJ_SSP245,112.0,0.0,124.3,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2030,PROJ_SSP370,109.0,0.0,133.0,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2030,PROJ_SSP585,114.5,0.0,125.9,SSP5-8.5 (very high emissions),PROJ_SSP245,False
AUS,AUS,2031,PROJ_SSP126,116.4,0.0,131.3,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2031,PROJ_SSP245,114.7,0.0,123.6,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2031,PROJ_SSP370,119.2,0.0,132.9,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2031,PROJ_SSP585,119.5,0.0,125.9,SSP5-8.5 (very high emissions),PROJ_SSP245,False
AUS,AUS,2032,PROJ_SSP126,109.4,0.0,130.8,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2032,PROJ_SSP245,120.4,0.0,128.7,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2032,PROJ_SSP370,122.0,0.0,135.8,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2032,PROJ_SSP585,121.8,0.0,128.4,SSP5-8.5 (very high emissions),PROJ_SSP245,False
AUS,AUS,2033,PROJ_SSP126,113.4,0.0,132.6,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2033,PROJ_SSP245,120.1,0.0,126.8,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2033,PROJ_SSP370,122.4,0.0,135.2,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2033,PROJ_SSP585,121.2,0.0,132.5,SSP5-8.5 (very high emissions),PROJ_SSP245,False
