iso3,country,year,scenario,hot_days_proj,hot_days_proj_diff_1981_2010,icing_days_proj,icing_days_proj_diff_1981_2010,trop_nights_proj,trop_nights_proj_diff_1981_2010,hot_days_proj_pct_change_1981_2010,trop_nights_proj_pct_change_1981_2010,icing_days_proj_pct_change_1981_2010,scenario_label,linked_ssp,is_linked_scenario
ARG,ARG,2030,PROJ_SSP126,31.5,8.5,1.1,-0.4,38.8,-4.6,36.95652173913043,-10.599078341013826,-26.666666666666668,SSP1-2.6 (low emissions),,False
ARG,ARG,2030,PROJ_SSP245,34.8,11.8,1.0,-0.5,40.8,-2.6,51.30434782608697,-5.990783410138249,-33.33333333333333,SSP2-4.5 (middle of the road),,False
ARG,ARG,2030,PROJ_SSP370,35.2,12.2,1.0,-0.6,41.4,-2.0,53.043478260869556,-4.6082949308755765,-37.49999999999999,SSP3-7.0 (high emissions),,False
ARG,ARG,2030,PROJ_SSP585,33.4,10.4,1.1,-0.4,39.1,-4.3,45.21739130434783,-9.90783410138249,-26.666666666666668,SSP5-8.5 (very high emissions),,False
ARG,ARG,2031,PROJ_SSP126,35.6,12.6,1.1,-0.4,40.9,-2.5,54.78260869565217,-5.76036866359447,-26.666666666666668,SSP1-2.6 (low emissions),,False
ARG,ARG,2031,PROJ_SSP245,33.4,10.3,1.0,-0.5,39.9,-3.5,44.588744588744596,-8.064516129032258,-33.33333333333333,SSP2-4.5 (middle of the road),,False
ARG,ARG,2031,PROJ_SSP370,36.3,13.3,1.3,-0.2,42.9,-0.5,57.82608695652175,-1.1520737327188941,-13.333333333333334,SSP3-7.0 (high emissions),,False
ARG,ARG,2031,PROJ_SSP585,34.8,11.8,1.0,-0.5,41.5,-1.9,51.30434782608697,-4.377880184331797,-33.33333333333333,SSP5-8.5 (very high emissions),,False
ARG,ARG,2032,PROJ_SSP126,36.0,13.0,0.9,-0.6,40.7,-2.7,56.52173913043478,-6.221198156682027,-40.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2032,PROJ_SSP245,31.7,8.7,1.1,-0.5,41.1,-2.2,37.826086956521735,-5.080831408775981,-31.25,SSP2-4.5 (middle of the road),,False
ARG,ARG,2032,PROJ_SSP370,34.8,11.8,1.2,-0.4,43.1,-0.2,51.30434782608697,-0.4618937644341801,-25.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2032,PROJ_SSP585,36.3,13.2,0.9,-0.7,42.6,-0.8,57.14285714285714,-1.8433179723502304,-43.74999999999999,SSP5-8.5 (very high emissions),,False
ARG,ARG,2033,PROJ_SSP126,35.1,12.1,1.1,-0.5,40.1,-3.3,52.60869565217391,-7.603686635944701,-31.25,SSP1-2.6 (low emissions),,False
ARG,ARG,2033,PROJ_SSP245,33.4,10.3,1.0,-0.5,39.5,-3.9,44.588744588744596,-8.986175115207374,-33.33333333333333,SSP2-4.5 (middle of the road),,False
ARG,ARG,2033,PROJ_SSP370,35.4,12.3,1.1,-0.5,43.1,-0.3,53.24675324675325,-0.6912442396313364,-31.25,SSP3-7.0 (high emissions),,False
ARG,ARG,2033,PROJ_SSP585,35.4,12.4,1.2,-0.4,40.6,-2.7,53.91304347826087,-6.235565819861431,-25.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2034,PROJ_SSP126,34.5,11.4,1.1,-0.5,39.8,-3.6,49.35064935064935,-8.294930875576037,-31.25,SSP1-2.6 (low emissions),,False
ARG,ARG,2034,PROJ_SSP245,34.8,11.7,1.0,-0.6,41.3,-2.0,50.64935064935065,-4.618937644341801,-37.49999999999999,SSP2-4.5 (middle of the road),,False
ARG,ARG,2034,PROJ_SSP370,35.2,12.1,1.1,-0.5,43.3,-0.1,52.38095238095237,-0.2304147465437788,-31.25,SSP3-7.0 (high emissions),,False
ARG,ARG,2034,PROJ_SSP585,35.7,12.6,0.9,-0.6,40.9,-2.5,54.54545454545454,-5.76036866359447,-40.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2035,PROJ_SSP126,34.0,11.0,1.1,-0.5,42.9,-0.4,47.82608695652174,-0.9237875288683605,-31.25,SSP1-2.6 (low emissions),,False
ARG,ARG,2035,PROJ_SSP245,37.4,14.3,1.1,-0.5,41.6,-1.7,61.90476190476192,-3.9260969976905304,-31.25,SSP2-4.5 (middle of the road),,False
ARG,ARG,2035,PROJ_SSP370,34.5,11.5,1.0,-0.5,44.1,0.8,50.0,1.8475750577367205,-33.33333333333333,SSP3-7.0 (high emissions),,False
ARG,ARG,2035,PROJ_SSP585,38.7,15.7,0.9,-0.6,43.0,-0.4,68.26086956521738,-0.9216589861751152,-40.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2036,PROJ_SSP126,36.3,13.2,0.9,-0.6,43.3,0.0,57.14285714285714,0.0,-40.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2036,PROJ_SSP245,38.4,15.3,0.9,-0.6,40.7,-2.7,66.23376623376625,-6.221198156682027,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2036,PROJ_SSP370,38.8,15.7,0.9,-0.6,45.3,1.9,67.96536796536797,4.377880184331797,-40.0,SSP3-7.0 (high emissions),,False
ARG,ARG,2036,PROJ_SSP585,38.5,15.5,0.9,-0.6,43.8,0.4,67.3913043478261,0.9216589861751152,-40.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2037,PROJ_SSP126,34.2,11.2,1.0,-0.5,43.6,0.3,48.69565217391303,0.6928406466512702,-33.33333333333333,SSP1-2.6 (low emissions),,False
