region_code,region_name,iso3,country,year,pm25_ugm3,pm25_ugm3_5yr,lat,lon
AL01,Veri,ALB,Albania,1990,23.156487,,41.3309822,19.5095499
AL01,Veri,ALB,Albania,1995,22.153387,,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2000,22.055902,22.455258666666666,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2001,20.908991,22.06869175,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2002,23.179783,22.29091,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2003,25.260035,22.7116196,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2004,22.317146,22.7443714,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2005,22.155418,22.7642746,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2006,23.11545,23.2055664,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2007,20.558344,22.6812786,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2008,19.650908,21.5594532,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2009,20.117268,21.119477600000003,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2010,20.000061,20.6884062,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2011,22.293797,20.5240756,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2012,20.407999,20.4940066,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2013,18.707506,20.3053262,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2014,18.740652,20.030003,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2015,18.327351,19.695461,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2016,16.955502,18.627802,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2017,17.67856,18.0819142,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2018,18.114836,17.9633802,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2019,14.894664,17.194182599999998,41.3309822,19.5095499
AL01,Veri,ALB,Albania,2020,14.848254,16.498363200000004,41.3309822,19.5095499
AL02,Qender,ALB,Albania,1990,22.265354,,42.2015792,19.3616511
AL02,Qender,ALB,Albania,1995,21.90509,,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2000,22.773829,22.314757666666665,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2001,21.479725,22.1059995,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2002,24.08218,22.5012356,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2003,26.804815,23.4091278,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2004,23.580259,23.7441616,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2005,23.442829,23.8779616,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2006,24.317272,24.445471,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2007,22.01519,24.032073,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2008,21.099768,22.891063600000003,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2009,21.577414,22.4904946,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2010,21.413103,22.0845494,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2011,23.582684,21.9376318,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2012,21.686302,21.8718542,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2013,19.991459,21.6501924,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2014,19.907322,21.316174,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2015,19.790834,20.9917202,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2016,18.163628,19.907909,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2017,19.324488,19.4355462,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2018,19.814062,19.4000668,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2019,16.217947,18.6621918,42.2015792,19.3616511
AL02,Qender,ALB,Albania,2020,16.296783,17.963381599999998,42.2015792,19.3616511
AL03,Jug,ALB,Albania,1990,20.658207,,41.0394843,20.034724
AL03,Jug,ALB,Albania,1995,20.35939,,41.0394843,20.034724
AL03,Jug,ALB,Albania,2000,21.010864,20.676153666666668,41.0394843,20.034724
AL03,Jug,ALB,Albania,2001,20.217422,20.56147075,41.0394843,20.034724
AL03,Jug,ALB,Albania,2002,22.406393,20.9304552,41.0394843,20.034724
AL03,Jug,ALB,Albania,2003,24.558578,21.7105294,41.0394843,20.034724
AL03,Jug,ALB,Albania,2004,21.459667,21.9305848,41.0394843,20.034724
AL03,Jug,ALB,Albania,2005,21.412691,22.0109502,41.0394843,20.034724
AL03,Jug,ALB,Albania,2006,22.106546,22.388775,41.0394843,20.034724
AL03,Jug,ALB,Albania,2007,19.884598,21.884416,41.0394843,20.034724
AL03,Jug,ALB,Albania,2008,19.450678,20.862836,41.0394843,20.034724
AL03,Jug,ALB,Albania,2009,19.884125,20.5477276,41.0394843,20.034724
AL03,Jug,ALB,Albania,2010,19.813524,20.2278942,41.0394843,20.034724
AL03,Jug,ALB,Albania,2011,21.049152,20.016415400000003,41.0394843,20.034724
AL03,Jug,ALB,Albania,2012,19.326982,19.9048922,41.0394843,20.034724
AL03,Jug,ALB,Albania,2013,18.204256,19.6556078,41.0394843,20.034724
AL03,Jug,ALB,Albania,2014,18.21847,19.3224768,41.0394843,20.034724
AL03,Jug,ALB,Albania,2015,17.745165,18.908805,41.0394843,20.034724
AL03,Jug,ALB,Albania,2016,16.340382,17.967051,41.0394843,20.034724
AL03,Jug,ALB,Albania,2017,17.260235,17.5537016,41.0394843,20.034724
AL03,Jug,ALB,Albania,2018,17.642294,17.4413092,41.0394843,20.034724
AL03,Jug,ALB,Albania,2019,14.709799,16.739575000000002,41.0394843,20.034724
AL03,Jug,ALB,Albania,2020,14.608865,16.112315000000002,41.0394843,20.034724
AR01,Autonomous City of Buenos Aires,ARG,Argentina,1990,13.995286,,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,1995,13.948689,,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2000,14.827073,14.257016,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2001,14.646815,14.35446575,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2002,14.254735,14.334519599999998,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2003,14.70111,14.4756844,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2004,14.058125,14.4975716,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2005,12.948672,14.1218914,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2006,14.105367,14.013601799999998,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2007,14.010414,13.9647376,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2008,13.304367,13.685389,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2009,12.208669,13.3154978,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2010,11.549215,13.0356064,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2011,11.629319,12.5403968,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2012,11.049853,11.9482846,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2013,12.40711,11.7688332,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2014,11.916346,11.7103686,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2015,12.088377,11.818201,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2016,11.858841,11.8641054,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2017,11.602489,11.9746326,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2018,11.685496,11.8303098,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2019,11.779952,11.803031,-34.6161231,-58.4356212
AR01,Autonomous City of Buenos Aires,ARG,Argentina,2020,12.244462,11.834248,-34.6161231,-58.4356212
AR02,Buenos Aires,ARG,Argentina,1990,14.630641,,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,1995,14.732745,,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2000,14.351796,14.571727333333332,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2001,14.214108,14.4823225,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2002,13.90883,14.367624,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2003,14.390306,14.319557,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2004,13.649521,14.1029122,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2005,12.725047,13.7775624,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2006,13.799459,13.6946326,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2007,13.715837,13.656034,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2008,13.052656,13.388504,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2009,11.909631,13.040526,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2010,11.232248,12.7419662,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2011,11.511971,12.2844686,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2012,10.708536,11.6830084,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2013,11.997957,11.4720686,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2014,11.477931,11.385728599999998,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2015,11.781412,11.4955614,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2016,11.560967,11.5053606,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2017,11.301541,11.6239616,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2018,11.426256,11.5096214,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2019,11.493198,11.5126748,-34.6095579,-58.3887904
AR02,Buenos Aires,ARG,Argentina,2020,11.949928,11.546378,-34.6095579,-58.3887904
AR03,Catamarca,ARG,Argentina,1990,21.382639,,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,1995,21.451674,,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2000,19.230154,20.688155666666667,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2001,19.75108,20.45388675,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2002,19.889004,20.340910200000003,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2003,20.258669,20.1161162,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2004,18.959038,19.617589,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2005,18.145306,19.4006194,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2006,18.462757,19.1429548,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2007,19.249678,19.015089600000003,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2008,17.64155,18.4916658,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2009,16.388021,17.9774624,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2010,16.131046,17.5746104,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2011,16.211786,17.124416200000002,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2012,15.104293,16.2953392,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2013,16.670105,16.1010502,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2014,15.55407,15.93426,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2015,16.776733,16.0633974,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2016,16.130196,16.047079399999998,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2017,16.149839,16.256188599999998,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2018,15.911953,16.1045582,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2019,16.358273,16.265398800000003,-27.7758659,-67.171292
AR03,Catamarca,ARG,Argentina,2020,15.927708,16.0955938,-27.7758659,-67.171292
AR04,Chaco,ARG,Argentina,1990,19.756479,,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,1995,19.990749,,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,2000,18.376738,19.374655333333333,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,2001,18.069384,19.0483375,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,2002,19.305212,19.0997124,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,2003,19.855818,19.1195802,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,2004,18.129574,18.7473452,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,2005,17.624632,18.596924,-26.3829647,-60.8816092
AR04,Chaco,ARG,Argentina,2006,17.297709,18.442589,-26.3829647,-60.8816092
